"6.05 Fractions, Decimals, and Percents I","6.05 Fracciones, decimales y porcentajes I",,,,,,,,,,,,,,,,,,,,,,
"Uses images to demonstrate ratios and asks student to determine corresponding fractions, percents, and decimals.","Usa imágenes para demostrar razones y le pide al estudiante que determine las fracciones, porcentajes y decimales correspondientes.",,,,,,,,,,,,,,,,,,,,,,
Number of Target Items,Número de elementos de destino,,,,,,,,,,,,,,,,,,,,,,
Total Number of Items,Número total de artículos,,,,,,,,,,,,,,,,,,,,,,
Unreduced Ratio,Proporción no reducida,,,,,,,,,,,,,,,,,,,,,,
Ratio Out of 100,Proporción de 100,,,,,,,,,,,,,,,,,,,,,,
Percent,Por ciento,,,,,,,,,,,,,,,,,,,,,,
Decimal,Decimal,,,,,,,,,,,,,,,,,,,,,,
Reduced Fraction,Fracción reducida,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Problem Name,Problem1,ProblemESP1,Problem Name,Problem2,ProblemESP2,Problem Name,Problem3,ProblemESP3,Problem Name,Problem4,ProblemESP4,Problem Name,Problem5,ProblemESP5,Problem Name,Problem6,ProblemESP6,Problem Name,Problem7,ProblemESP7,Problem Name,Problem8,ProblemESP8
%(-4911522077174266649)%,Try entering 9.,Intente ingresar 9.,%(-4911522077174266649)%,Try entering 9.,Intente ingresar 9.,%(8387754262730084157)%,"Oops! You divided the percent number only by 10. Remember, percents are out of 100, so you should divide them by 100!","¡UPS! Dividió el número porcentual solo por 10. Recuerde, los porcentajes son de 100, ¡así que debe dividirlos entre 100!",%(-4893326067550428078)%,"To work through question 4, you must first find the number of shapes that are squares.","Para resolver la pregunta 4, primero debes encontrar la cantidad de formas que son cuadrados.",%(-4911522077174266649)%,Try entering 9.,Intente ingresar 9.,%(8387754262730084157)%,"Oops! You divided the percent number only by 10. Remember, percents are out of 100, so you should divide them by 100!","¡UPS! Dividió el número porcentual solo por 10. Recuerde, los porcentajes son de 100, ¡así que debe dividirlos entre 100!",%(110728995904189438)%,"To make the unreduced ratio, 2/5, a reduced fraction, first find the greatest common factor of the numerator and the denominator.","Para hacer la razón no reducida, 2/5, una fracción reducida, primero encuentra el máximo común factor del numerador y el denominador.",%(3417780700679581151)%,Try entering 60%.,Intente ingresar el 60%.
%(-2480670950186399654)%,"If the ratio out 100 is 100/100, the percent is its numerator, 100.","Si la relación de 100 es 100/100, el porcentaje es su numerador, 100.",%(-660051447401981424)%,(4) What percent of the shapes are not blue?,(4) ¿Qué porcentaje de las formas no son azules?,%(5883896224843519265)%,"To turn 25/50 into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore.","Para convertir 25/50 en una proporción reducida, simplifique la proporción tanto como sea posible hasta que ya no se pueda simplificar.",%(-662214259226210554)%,"Try entering <%=fractionsimplify(fractionMake(15,25))%>.","Intente ingresar <%=fractionsimplify(fractionMake(15,25))%>.",%(8262003071479151851)%,simplify(1/10*10),simplificar (1/10 * 10),%(-8484794867754873199)%,"To express the unreduced ratio as a ratio out of 100, first convert the denominator of 38/40 to 100.","Para expresar la razón no reducida como una razón de 100, primero convierta el denominador de 38/40 a 100.",%(-6453324034523247256)%,"One way to find the numerator for the ratio out of 100 is to multiply the original numerator, 2, by 100 and then divide by the original denominator, 5.","Una forma de encontrar el numerador para la razón de 100 es multiplicar el numerador original, 2, por 100 y luego dividir por el denominador original, 5.",%(2985513162735152819)%,6/15,15/6
%(-6101060666217895040)%,simplify(60/100*10),simplificar (60/100 * 10),%(-3495060546229936471)%,0.25,0.25,%(1289567620941478280)%,0.1,0.1,%(5261102140459498125)%,n/a,n/a,%(-8957055319105760751)%,Try entering <%= 7/10*100 %>/100.,Intente ingresar <% = 7/10 * 100%> / 100.,%(-3495060546234936456)%,0.95,0.95,%(-1264969489453533899)%,(3) What percent of the shapes are yellow or blue?,(3) ¿Qué porcentaje de las formas son amarillas o azules?,%(6445888319811083089)%,"To work through question 3, you must first find the number of shapes that are not purple.","Para resolver la pregunta 3, primero debe encontrar la cantidad de formas que no son moradas."
%(1289567620941478287)%,0.6,0.6,%(-3863788354684340986)%,"To express the unreduced ratio as a ratio out of 100, first convert the denominator of 5/20 to 100.","Para expresar la razón no reducida como una razón de 100, primero convierta el denominador de 5/20 a 100.",%(4652389368253958656)%,"Try entering <%=divEvaluate(fractionMake(5,50))%>.","Intente ingresar <%=divEvaluate(fractionMake(5,50))%>.",%(-1169012967509120361)%,5/25,5/25,%(-2406529095210564775)%,"Make sure you enter the unreduced ratio as a fraction, the target number is the numerator and the total number is the denominator.","Asegúrese de ingresar la proporción no reducida como una fracción, el número objetivo es el numerador y el número total es el denominador.",%(-4911522077174266649)%,Try entering 9.,Intente ingresar 9.,%(-4911522077174266649)%,Try entering 9.,Intente ingresar 9.,%(-4911522077174266649)%,Try entering 9.,Intente ingresar 9.
%(-381937284578446403)%,"Do you know how to find an equivalent fraction of 20/100 that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?","¿Sabes cómo encontrar una fracción equivalente de 20/100 que tiene un denominador de 100? Ya conoces el denominador, 100. Entonces, ¿Cuál sería su numerador?",%(6400038450057761)%,25,25,%(2013277743166333850)%,Enter as fraction out of 100,Ingrese como fracción de 100,%(-2389551763748423217)%,Need more help? Greatest common factor of 15 and 25 is 5.,Necesitas más ayuda? Máximo común divisor de 15 y 25 es 5.,%(-6762006813102998669)%,What is the total number of pieces shown?,¿Cuál es el número total de piezas que se muestran?,%(3355791772535603769)%,22.50%,22.50%,%(-3017288759745738887)%,"Try entering <%=divEvaluate(fractionMake(1,5))%>.","Intente ingresar <%=divEvaluate(fractionMake(1,5))%>.",%(-4893326067550428078)%,"To work through question 4, you must first find the number of shapes that are squares.","Para resolver la pregunta 4, primero debes encontrar la cantidad de formas que son cuadrados."
%(3686079951713660967)%,"Try entering <%=divEvaluate(fractionMake(20,100))%>.","Intente ingresar <% = divEvaluate (fracciónMake (20,100))%>.",%(-3187690797359596533)%,"Try entering <%=divEvaluate(fractionMake(15,20))%>.","Intente ingresar <% = divEvaluate (fracciónMake (15,20))%>.",%(-4911522077174266649)%,Try entering 9.,Intente ingresar 9.,%(-3524817805756043585)%,"Remember one percent (1%) is one out of 100. In the last column, you found the ratio out of 100, <%= 10/25*100 %>/100. The percent representation is just the numerator of this ratio, <%= 10/25*100 %>.","Recuerde que el uno por ciento (1%) es uno de cada 100. En la última columna, encontró la proporción de 100, <% = 10/25 * 100%> / 100. La representación porcentual es solo el numerador de esta relación, <% = 10/25 * 100%>.",%(-7593974795855923753)%,"To express the unreduced ratio as a ratio out of 100, first convert the denominator of 1/10 to 100.","Para expresar la razón no reducida como una razón de 100, primero convierta el denominador de 1/10 en 100.",%(3249323794821839031)%,"38 is the numerator, and 40 is the denominator. Divide 38 and 40 by their greatest common factor.",38 es el numerador y 40 es el denominador. Dividir 38 y 40 por su máximo común denominador.,%(1289567620941478287)%,0.6,0.6,%(4075609184175848751)%,"Try entering <%=fractionsimplify(fractionMake(3,15))%>.","Intente ingresar <% = fraccionesimplificar (fracciónMake (3,15))%>."
%(1527448961676960652)%,simplify(5/100*10),simplificar (5/100 * 10),%(-8010447744106358721)%,The ratio out of 100 is written as 25/100. Please express this value as a decimal.,La proporción de 100 se escribe como 25/100. Exprese este valor como decimal.,%(2355789772526603648)%,25/50,25/50,%(1289567620941478287)%,0.6,0.6,%(4756092379082814237)%,"Try entering <%=divEvaluate(fractionMake(4,10))%>.","Intente ingresar <%=divEvaluate(fractionMake(4,10))%>.",%(-8102319196771241440)%,"Try entering <%=fractionsimplify(fractionMake(38,40))%>.","Intente ingresar <% = fraccionesimplificar (fracciónMake (38,40))%>.",%(-582223299228418669)%,Try entering 20%.,Intente ingresar el 20%.,%(1289567620941478287)%,0.6,0.6
%(556997598474691584)%,"One way to find the numerator for the ratio out of 100 is to start with the original numerator, 100, and multiply it by 100 and then divide it by 100, the original denominator: 100*100/100.","Una forma de encontrar el numerador para la razón de 100 es comenzar con el numerador original, 100, y multiplicarlo por 100 y luego dividirlo por 100, el denominador original: 100 * 100/100.",%(-2283422965910819543)%,"Try entering <%=fractionsimplify(fractionMake(5,20))%>.","Intente ingresar <%=fractionsimplify (fractionMake (5,20))%>.",%(5261102140459498125)%,n/a,n/a,%(-582223299228418669)%,Try entering 20%.,Intente ingresar el 20%.,%(-7582254299287418710)%,Try entering 90%.,Intente ingresar el 90%.,%(-847646191211367540)%,Try entering 38/40.,Intente ingresar 38/40.,%(-7272700451176661046)%,"When you divide a number by 10, you move the decimal point in that number over to the left one place. If it's a whole number, there is an 'invisible' decimal point to the right of it, like this: ""40.""","Cuando divide un número por 10, mueve el punto decimal en ese número hacia la izquierda un lugar. Si es un número entero, hay un punto decimal 'invisible' a la derecha, como este: ""40"".",%(-582223299228418669)%,Try entering 20%.,Intente ingresar el 20%.
%(-6619497765308758059)%,"One way to find the numerator for the ratio out of 100 is to start with the original numerator, 5, and multiply it by 100 and then divide it by 100, the original denominator: 5*100/100.","Una forma de encontrar el numerador para la razón de 100 es comenzar con el numerador original, 5, y multiplicarlo por 100 y luego dividirlo por 100, el denominador original: 5 * 100/100.",%(8043342531756397365)%,simplify(8/20*10),simplificar (8/20 * 10),%(6400038450057761)%,25,25,%(-7272700451176661046)%,"When you divide a number by 10, you move the decimal point in that number over to the left one place. If it's a whole number, there is an 'invisible' decimal point to the right of it, like this: ""40.""","Cuando divide un número por 10, mueve el punto decimal en ese número hacia la izquierda un lugar. Si es un número entero, hay un punto decimal 'invisible' a la derecha, como este: ""40"".",%(4424500009322240431)%,70/100,70/100,%(2807737461009229107)%,"One way to find the numerator for the ratio out of 100 is to start with the original numerator, 26, and multiply it by 100 and then divide it by 40, the original denominator: 26*100/40.","Una forma de encontrar el numerador para la razón de 100 es comenzar con el numerador original, 26, y multiplicarlo por 100 y luego dividirlo por 40, el denominador original: 26 * 100/40.",%(3154716639206056844)%,"Try entering <%=divEvaluate(fractionMake(2,5))%>.","Intente ingresar <%=divEvaluate(fractionMake(2,5))%>.",%(4845994508518103549)%,"To turn 3/15 into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore.","Para convertir 3/15 en una proporción reducida, simplifique la proporción tanto como sea posible hasta que ya no pueda simplificarse."
%(163512108431620418)%,1/5,1/5,%(-6145344832623325844)%,Try entering 8/20.,Intente ingresar 8/20.,%(-9196907500677081815)%,35/50,35/50,%(4790297401665993180)%,Try entering <%= 10/25*100 %>.,Intente ingresar <% = 10/25 * 100%>.,%(7333953474663000676)%,"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1.",Puede hacer esto encontrando factores comunes y dividiendo el numerador y el denominador hasta que no haya más factores comunes además de 1.,%(3417775700587580870)%,Try entering 65%.,Intente ingresar 65%.,%(3837008126501466447)%,Need more help? Greatest common factor of 4 and 5 is 1.,Necesitas más ayuda? Máximo común divisor de 4 y 5 es 1.,%(-5299787239390644495)%,"One way to find the numerator for the ratio out of 100 is to multiply the original numerator, 3, by 100 and then divide by the original denominator, 15.","Una forma de encontrar el numerador para la razón de 100 es multiplicar el numerador original, 3, por 100 y luego dividir por el denominador original, 15."
%(-2406529095210564775)%,"Make sure you enter the unreduced ratio as a fraction, the target number is the numerator and the total number is the denominator.","Asegúrese de ingresar la proporción no reducida como una fracción, el número objetivo es el numerador y el número total es el denominador.",%(-2406529095210564775)%,"Make sure you enter the unreduced ratio as a fraction, the target number is the numerator and the total number is the denominator.","Asegúrese de ingresar la proporción no reducida como una fracción, el número objetivo es el numerador y el número total es el denominador.",%(-2406529095210564775)%,"Make sure you enter the unreduced ratio as a fraction, the target number is the numerator and the total number is the denominator.","Asegúrese de ingresar la proporción no reducida como una fracción, el número objetivo es el numerador y el número total es el denominador.",%(-3531800069776429129)%,The ratio out of 100 is written as <%= 10/25*100 %>/100. Please express this value as a decimal.,"La proporción de 100 se escribe como <% = 10/25 * 100%> / 100. Por favor, exprese este valor como decimal.",%(-4518748112372659258)%,The ratio out of 100 is written as 40/100. Please express this value as a decimal.,"La proporción de 100 se escribe como 40/100. Por favor, exprese este valor como decimal.",%(1031618038522718121)%,Try entering 40.,Intente ingresar 40.,%(6528019634)%,3,3,%(2061563192291857810)%,Try entering 12/15.,Intente ingresar 12/15.
%(7928358009601503321)%,"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 5/100. The percent representation is just the numerator of this ratio, 5.","Recuerde que el uno por ciento (1%) es uno de cada 100. En la fila anterior, encontró la razón de 100, 5/100. La representación porcentual es solo el numerador de esta razón, 5.",%(5439454847619812848)%,Need more help? Greatest common factor of 8 and 20 is 4.,Necesitas más ayuda? Máximo común divisor de 8 y 20 es 4.,%(8153099766409076622)%,Need more help? Greatest common factor of 45 and 50 is 5.,Necesitas más ayuda? Máximo común divisor de 45 y 50 es 5.,%(-2406529095210564775)%,"Make sure you enter the unreduced ratio as a fraction, the target number is the numerator and the total number is the denominator.","Asegúrese de ingresar la proporción no reducida como una fracción, el número objetivo es el numerador y el número total es el denominador.",%(3089042676298254251)%,Enter unreduced ratio,Ingrese la proporción no reducida,%(6355588055420511703)%,"One way to find the numerator for the ratio out of 100 is to start with the original numerator, 9, and multiply it by 100 and then divide it by 40, the original denominator: 9*100/40.","Una forma de encontrar el numerador para la razón de 100 es comenzar con el numerador original, 9, y multiplicarlo por 100 y luego dividirlo por 40, el denominador original: 9 * 100/40.",%(-2406529095210564775)%,"Make sure you enter the unreduced ratio as a fraction, the target number is the numerator and the total number is the denominator.","Asegúrese de ingresar la proporción no reducida como una fracción, el número objetivo es el numerador y el número total es el denominador.",%(6272037681056611)%,12,12
%(-561539012705433784)%,"If the ratio out 100 is 20/100, the percent is its numerator, 20.","Si la relación de 100 es 20/100, el porcentaje es su numerador, 20.",%(-1439947051512230234)%,Need more help? Greatest common factor of 15 and 20 is 5.,Necesitas más ayuda? Máximo común divisor de 15 y 20 es 5.,%(-2161395058148435869)%,"Try entering <%=divEvaluate(fractionMake(45,50))%>.","Intente ingresar <%=divEvaluate(fractionMake(45,50))%>.",%(-561539012705433784)%,"If the ratio out 100 is 20/100, the percent is its numerator, 20.","Si la relación de 100 es 20/100, el porcentaje es su numerador, 20.",%(6787002853152234122)%,"If the ratio out 100 is <%= 7/10*100 %>, then the percent is <%= 7/10*100 %> as well.","Si la proporción de 100 es <% = 7/10 * 100%>, entonces el porcentaje también es <% = 7/10 * 100%>.",%(-2782258743691187925)%,"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 95/100. The percent representation is just the numerator of this ratio, 95.","Recuerde que el uno por ciento (1%) es uno de cada 100. En la fila anterior, encontró la razón de 100, 95/100. La representación porcentual es solo el numerador de esta razón, 95.",%(1081297535824255979)%,(1) What percent of the shapes are squares?,(1) ¿Qué porcentaje de las formas son cuadrados?,%(6528019634)%,3,3
%(3866398731174528)%,Need more help? Greatest common factor of 5 and 100 is 5.,Necesitas más ayuda? Máximo común divisor de 5 y 100 es 5.,%(-962543404101237489)%,25%,25%,%(-7582254299287418710)%,Try entering 90%.,Intente ingresar el 90%.,%(-5544817977402806799)%,"To turn 10/25 into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore.","Para convertir 10/25 en una proporción reducida, simplifique la proporción tanto como sea posible hasta que ya no se pueda simplificar más.",%(2906811124000085636)%,"To express the unreduced ratio as a ratio out of 100, first convert the denominator of 4/10 to 100.","Para expresar la razón no reducida como una razón de 100, primero convierta el denominador de 4/10 a 100.",%(1592557524289901934)%,The ratio out of 100 is written as <%= 38/40*100 %>/100. Please express this value as a decimal.,"La proporción de 100 se escribe como <% = 38/40 * 100%> / 100. Por favor, exprese este valor como decimal.",%(-561539012705433784)%,"If the ratio out 100 is 20/100, the percent is its numerator, 20.","Si la relación de 100 es 20/100, el porcentaje es su numerador, 20.",%(-2406529095210564775)%,"Make sure you enter the unreduced ratio as a fraction, the target number is the numerator and the total number is the denominator.","Asegúrese de ingresar la proporción no reducida como una fracción, el número objetivo es el numerador y el número total es el denominador."
%(7333953474663000676)%,"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1.",Puede hacer esto encontrando factores comunes y dividiendo el numerador y el denominador hasta que no haya más factores comunes además de 1.,%(1638028038780184403)%,"Do you know how to find an equivalent fraction of 5/20 that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?","¿Sabes cómo encontrar una fracción equivalente de 5/20 que tiene un denominador de 100? Ya conoces el denominador, 100. Entonces, ¿Cuál sería su numerador?",%(3054508759218327654)%,"If the ratio out 100 is <%= 5/50*100 %>, then the percent is <%= 5/50*100 %> as well.","Si la proporción de 100 es <% = 5/50 * 100%>, entonces el porcentaje también es <% = 5/50 * 100%>.",%(7333953474663000676)%,"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1.",Puede hacer esto encontrando factores comunes y dividiendo el numerador y el denominador hasta que no haya más factores comunes además de 1.,%(994327244067163536)%,"Try entering <%=fractionsimplify(fractionMake(7,10))%>.","Intente ingresar <%=fractionsimplify(fractionMake(7,10))%>.",%(1031611038504718110)%,Try entering 38.,Intente ingresar 38.,%(7333953474663000676)%,"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1.",Puede hacer esto encontrando factores comunes y dividiendo el numerador y el denominador hasta que no haya más factores comunes además de 1.,%(3464744972481070528)%,(2) What percent of the shapes are yellow or green?,(2) ¿Qué porcentaje de las formas son amarillas o verdes?
%(6980774086367191061)%,"To make the unreduced ratio, 1/20, a reduced fraction, first find the greatest common factor of the numerator and the denominator.","Para hacer la razón no reducida, 1/20, una fracción reducida, primero encuentra el máximo común factor del numerador y el denominador.",%(7333953474663000676)%,"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1.",Puede hacer esto encontrando factores comunes y dividiendo el numerador y el denominador hasta que no haya más factores comunes además de 1.,%(4424500009322240431)%,70/100,70/100,%(-4518748112372659258)%,The ratio out of 100 is written as 40/100. Please express this value as a decimal.,"La proporción de 100 se escribe como 40/100. Por favor, exprese este valor como decimal.",%(-36049042037695281)%,"Using the set of shapes in the picture, answer questions 1 through 4 in the worksheet provided.","Usando el conjunto de formas en la imagen, responda las preguntas 1 a 4 en la hoja de trabajo provista.",%(6912041526062357)%,65,65,%(417788700800581325)%,Try entering 1/5.,Intente ingresar 1/5.,%(-561539012705433784)%,"If the ratio out 100 is 20/100, the percent is its numerator, 20.","Si la relación de 100 es 20/100, el porcentaje es su numerador, 20."
%(-582223299228418669)%,Try entering 20%.,Intente ingresar el 20%.,%(6980774086367191061)%,"To make the unreduced ratio, 1/20, a reduced fraction, first find the greatest common factor of the numerator and the denominator.","Para hacer la razón no reducida, 1/20, una fracción reducida, primero encuentra el máximo común factor del numerador y el denominador.",%(-7129695681190450255)%,"One way to find the numerator for the ratio out of 100 is to start with the original numerator, 35, and multiply it by 100 and then divide it by 50, the original denominator: 35*100/50.","Una forma de encontrar el numerador para la razón de 100 es comenzar con el numerador original, 35, y multiplicarlo por 100 y luego dividirlo por 50, el denominador original: 35 * 100/50.",%(3089042676298254251)%,Enter unreduced ratio,Ingrese la proporción no reducida,%(7040021174)%,7,7,%(-2406529095210564775)%,"Make sure you enter the unreduced ratio as a fraction, the target number is the numerator and the total number is the denominator.","Asegúrese de ingresar la proporción no reducida como una fracción, el número objetivo es el numerador y el número total es el denominador.",%(-4518748112372659258)%,The ratio out of 100 is written as 40/100. Please express this value as a decimal.,"La proporción de 100 se escribe como 40/100. Por favor, exprese este valor como decimal.",%(-6082292286318488596)%,"Try entering <%=divEvaluate(fractionMake(6,15))%>.","Intente ingresar <%=divEvaluate(fractionMake(6,15))%>."
%(3089042676298254251)%,Enter unreduced ratio,Ingrese la proporción no reducida,%(5468000196335590582)%,"One way to find the numerator for the ratio out of 100 is to start with the original numerator, 1, and multiply it by 100 and then divide it by 20, the original denominator: 1*100/20.","Una forma de encontrar el numerador para la razón de 100 es comenzar con el numerador original, 1, y multiplicarlo por 100 y luego dividirlo por 20, el denominador original: 1 * 100/20.",%(7333953474663000676)%,"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1.",Puede hacer esto encontrando factores comunes y dividiendo el numerador y el denominador hasta que no haya más factores comunes además de 1.,%(-8521903400148505565)%,Try entering 20/100.,Intente ingresar 20/100.,%(2052947851064150340)%,"If the ratio out 100 is 40/100, the percent is its numerator, 40.","Si la relación de 100 es 40/100, el porcentaje es su numerador, 40.",%(-3565709919559657408)%,"Try entering <%=divEvaluate(fractionMake(14,40))%>.","Intente ingresar <%=divEvaluate(fractionMake(14,40))%>.",%(3089042676298254251)%,Enter unreduced ratio,Ingrese la proporción no reducida,%(-962543404098237484)%,20%,20%
%(-8521903400148505565)%,Try entering 20/100.,Intente ingresar 20/100.,%(7461938972895738778)%,15/20,15/20,%(-1169012967506120357)%,5/50,5/50,%(8358074938859628607)%,"To express the unreduced ratio as a ratio out of 100, first convert the denominator of 20/25 to 100.","Para expresar la razón no reducida como una razón de 100, primero convierta el denominador de 20/25 a 100.",%(1368174600963583895)%,How many pieces are not purple?,¿Cuántas piezas no son moradas?,%(733544221100370962)%,Try entering 14/40.,Intente ingresar 14/40.,%(-8521903400148505565)%,Try entering 20/100.,Intente ingresar 20/100.,%(7333953474663000676)%,"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1.",Puede hacer esto encontrando factores comunes y dividiendo el numerador y el denominador hasta que no haya más factores comunes además de 1.
%(2871924063806425800)%,Need more help? Greatest common factor of 60 and 100 is 20.,Necesitas más ayuda? Máximo común divisor de 60 y 100 es 20.,%(-4518748112372659258)%,The ratio out of 100 is written as 40/100. Please express this value as a decimal.,"La proporción de 100 se escribe como 40/100. Por favor, exprese este valor como decimal.",%(3089042676298254251)%,Enter unreduced ratio,Ingrese la proporción no reducida,%(-872462808939147026)%,"To work through question 1, you must first find the number of shapes that are circles.","Para resolver la pregunta 1, primero debe encontrar la cantidad de formas que son círculos.",%(-1934125337180675039)%,Please provide your answer 'No_Value' in the highlighted element.,"Por favor, proporcione su respuesta 'Sin_Valor' en el elemento resaltado.",%(2209390066132741080)%,"To work through question 4, you must first find the number of shapes that are not red.","Para resolver la pregunta 4, primero debe encontrar la cantidad de formas que no son rojas.",%(2661882320830788935)%,"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both 2 and 5 without any remainder.",O intente encontrar el máximo factor común. Este es el mayor de todos los números que pueden dividir 2 y 5 sin ningún resto.,%(-4911522077168266631)%,Try entering 3.,Intente ingresar 3.
%(6441850263761803138)%,The ratio out of 100 is written as 100/100. Please express this value as a decimal.,"La relación de 100 se escribe como 100/100. Por favor, exprese este valor como decimal.",%(3089042676298254251)%,Enter unreduced ratio,Ingrese la proporción no reducida,%(-5380137999549154053)%,Try entering <%= 5/50*100 %>.,Intente ingresar <% = 5/50 * 100%>.,%(-962543404079237411)%,2/5,2/5,%(-4154447947761223224)%,simplify(4/10*10),simplificar (4/10 * 10),%(681708841760865730)%,"To work through question 2, you must first find the number of shapes that are red circles.","Para resolver la pregunta 2, primero debes encontrar la cantidad de formas que son círculos rojos.",%(-962543404079237411)%,2/5,2/5,%(-4518748112372659258)%,The ratio out of 100 is written as 40/100. Please express this value as a decimal.,"La proporción de 100 se escribe como 40/100. Por favor, exprese este valor como decimal."
%(1031617038505718035)%,Try entering 5%.,Intente ingresar el 5%.,%(-962543404079237411)%,2/5,2/5,%(-4814631631095000576)%,"To work through question 4, you must first find the number of shapes that are blue or red.","Para resolver la pregunta 4, primero debe encontrar la cantidad de formas que son azules o rojas.",%(-3763806027927674857)%,simplify(20/25*10),simplificar (20/25 * 10),%(5783548258534426712)%,"To turn 7/10 into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore.","Para convertir 7/10 en una proporción reducida, simplifique la proporción tanto como sea posible hasta que no se pueda simplificar más.",%(2971042022812305587)%,The ratio out of 100 is written as 65/100. Please express this value as a decimal.,"La relación de 100 se escribe como 65/100. Por favor, exprese este valor como decimal.",%(2052947851064150340)%,"If the ratio out 100 is 40/100, the percent is its numerator, 40.","Si la relación de 100 es 40/100, el porcentaje es su numerador, 40.",%(3089042676298254251)%,Enter unreduced ratio,Ingrese la proporción no reducida
%(6784020404)%,5,5,%(-1250602708709997368)%,"To work through question 4, you must first find the number of shapes that are not blue.","Para resolver la pregunta 4, primero debes encontrar la cantidad de formas que no son azules.",%(468932233583177581)%,Try entering 45/50.,Intente ingresar 45/50.,%(2917483316025234979)%,"One way to find the numerator for the ratio out of 100 is to multiply the original numerator, 10, by 100 and then divide by the original denominator, 25.","Una forma de encontrar el numerador para la razón de 100 es multiplicar el numerador original, 10, por 100 y luego dividir por el denominador original, 25.",%(8353785471244537622)%,40/100,40/100,%(3089042676298254251)%,Enter unreduced ratio,Ingrese la proporción no reducida,%(-1934125337180675039)%,Please provide your answer 'No_Value' in the highlighted element.,"Por favor, proporcione su respuesta 'Sin_Valor' en el elemento resaltado.",%(-8521903400148505565)%,Try entering 20/100.,Intente ingresar 20/100.
%(417785700811581393)%,Try entering 100.,Intente ingresar 100.,%(-1960295142514082686)%,simplify(15/20*10),simplificar (15/20 * 10),%(-1165721165217053189)%,"One way to find the numerator for the ratio out of 100 is to start with the original numerator, 25, and multiply it by 100 and then divide it by 50, the original denominator: 25*100/50.","Una forma de encontrar el numerador para la razón de 100 es comenzar con el numerador original, 25, y multiplicarlo por 100 y luego dividirlo por 50, el denominador original: 25 * 100/50.",%(2052947851064150340)%,"If the ratio out 100 is 40/100, the percent is its numerator, 40.","Si la relación de 100 es 40/100, el porcentaje es su numerador, 40.",%(-4078565505027704155)%,Try entering <%= 7/10*100 %>.,Intente ingresar <% = 7/10 * 100%>.,%(523102178207726848)%,The ratio out of 100 is written as 95/100. Please express this value as a decimal.,"La razón de 100 se escribe 95/100. Por favor, exprese este valor como decimal.",%(-1582217299221418737)%,Try entering 3/5.,Intente ingresar 3/5.,%(-50349145926305243)%,"One way to find the numerator for the ratio out of 100 is to start with the original numerator, 12, and multiply it by 100 and then divide it by 15, the original denominator: 12*100/15.","Una forma de encontrar el numerador para la razón de 100 es comenzar con el numerador original, 12, y multiplicarlo por 100 y luego dividirlo por 15, el denominador original: 12 * 100/15."
%(-1170620316688291612)%,"To express the ratio as a decimal, simply divide the numerator by the denominator. Remember, dividing by 100 is like to dividing by 10, then dividing by 10 again.","Para expresar la razón como decimal, simplemente divida el numerador por el denominador. Recuerde, dividir por 100 es como dividir por 10 y luego dividir por 10 nuevamente.",%(-7152114649996851775)%,8/20,8/20,%(-1934125337180675039)%,Please provide your answer 'No_Value' in the highlighted element.,"Por favor, proporcione su respuesta 'Sin_Valor' en el elemento resaltado.",%(-1934125337180675039)%,Please provide your answer 'No_Value' in the highlighted element.,"Por favor, proporcione su respuesta 'Sin_Valor' en el elemento resaltado.",%(1289567620941478272)%,0.9,0.9,%(7337805271574024900)%,"Do you know how to find an equivalent fraction of 38/40 that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?","¿Sabes cómo encontrar una fracción equivalente de 38/40 que tiene un denominador de 100? Ya conoces el denominador, 100. Entonces, ¿Cuál sería su numerador?",%(-9171678865312626116)%,"To turn 2/5 into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore.","Para convertir 2/5 en una proporción reducida, simplifique la proporción tanto como sea posible hasta que ya no se pueda simplificar más.",%(-962543404079237411)%,2/5,2/5
